route_id,service_id,trip_id,trip_headsign,direction_id,block_id
12-273,JAN18-JANDA18-Weekday-31,50075753-JAN18-JANDA18-Weekday-31,"Rideau",1,5756700
95-273,JAN18-JANDA18-Weekday-31,50075754-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",1,5757024
99-273,JAN18-JANDA18-Weekday-31,50075755-JAN18-JANDA18-Weekday-31,"Greenboro",0,5757052
97-273,JAN18-JANDA18-Weekday-31,50075756-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5756121
97-273,JAN18-JANDA18-Weekday-31,50075757-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5756121
97-273,JAN18-JANDA18-Weekday-31,50075758-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5757076
97-273,JAN18-JANDA18-Weekday-31,50075759-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5756743
97-273,JAN18-JANDA18-Weekday-31,50075760-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5756743
97-273,JAN18-JANDA18-Weekday-31,50075761-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5756743
97-273,JAN18-JANDA18-Weekday-31,50075762-JAN18-JANDA18-Weekday-31,"Airport / Aéroport",0,5756743
97-273,JAN18-JANDA18-Weekday-31,50075763-JAN18-JANDA18-Weekday-31,"Bells Corners",1,5756743
94-273,JAN18-JANDA18-Weekday-31,50075764-JAN18-JANDA18-Weekday-31,"Millennium",1,5756084
12-273,JAN18-JANDA18-Weekday-31,50075765-JAN18-JANDA18-Weekday-31,"Rideau",1,5757157
61-273,JAN18-JANDA18-Weekday-31,50075766-JAN18-JANDA18-Weekday-31,"St-Laurent",0,5756929
34-273,JAN18-JANDA18-Weekday-31,50075767-JAN18-JANDA18-Weekday-31,"Albert Bay",0,5756843
12-273,JAN18-JANDA18-Weekday-31,50075768-JAN18-JANDA18-Weekday-31,"Blair",0,5757144
91-273,JAN18-JANDA18-Weekday-31,50075769-JAN18-JANDA18-Weekday-31,"Baseline",1,5756617
80-273,JAN18-JANDA18-Weekday-31,50075770-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",0,5756925
80-273,JAN18-JANDA18-Weekday-31,50075771-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5756925
80-273,JAN18-JANDA18-Weekday-31,50075772-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",0,5757101
80-273,JAN18-JANDA18-Weekday-31,50075773-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5757101
80-273,JAN18-JANDA18-Weekday-31,50075774-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",0,5756135
80-273,JAN18-JANDA18-Weekday-31,50075775-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5756135
80-273,JAN18-JANDA18-Weekday-31,50075776-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",0,5756135
80-273,JAN18-JANDA18-Weekday-31,50075777-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5756135
80-273,JAN18-JANDA18-Weekday-31,50075778-JAN18-JANDA18-Weekday-31,"Barrhaven Centre",0,5756135
80-273,JAN18-JANDA18-Weekday-31,50075779-JAN18-JANDA18-Weekday-31,"Tunney's Pasture",1,5756135
152-273,JAN18-JANDA18-Weekday-31,50075780-JAN18-JANDA18-Weekday-31,"Moodie",0,5757093
152-273,JAN18-JANDA18-Weekday-31,50075781-JAN18-JANDA18-Weekday-31,"Lincoln Fields",1,5757093
7-273,JAN18-JANDA18-Weekday-31,50075783-JAN18-JANDA18-Weekday-31,"Carleton",0,5756555
6-273,JAN18-JANDA18-Weekday-31,50075785-JAN18-JANDA18-Weekday-31,"Greenboro",0,5756555
